AGE,CIRCDIST,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
30,14,1,1,2,Anne Elise Thompson,1,3,0,2,60,0,,3,2004
35,14,1,1,0,Anne Elise Thompson,6,1,0,2,34,0,,11,2011
40,14,1,0,0,Anne Elise Thompson,6,6,0,2,34,0,,11,2011
73,14,1,1,0,Anne Elise Thompson,6,1,0,2,40,0,,11,2011
44,14,3,0,0,Anne Elise Thompson,5,1,0,3,0,60,1/15/2002,1,2002
26,14,1,1,7,Anne Elise Thompson,3,2,0,3,188,0,5/1/2002,5,2002
52,14,1,0,0,Anne Elise Thompson,6,1,0,3,0,36,,11,2004
60,14,1,0,0,Anne Elise Thompson,6,1,0,3,0,36,,1,2005
50,14,2,0,0,Anne Elise Thompson,5,1,0,3,24,0,,4,2004
31,14,1,1,5,Anne Elise Thompson,1,2,0,3,108,0,1/17/2002,1,2002
38,14,1,1,6,Anne Elise Thompson,1,3,0,3,77,0,12/3/2001,12,2001
25,14,1,1,3,Anne Elise Thompson,3,2,0,3,37,0,12/3/2001,12,2001
41,14,1,1,0,Anne Elise Thompson,6,2,0,3,41,0,4/15/2003,4,2003
45,14,1,1,0,Anne Elise Thompson,3,1,0,3,12,0,7/17/2003,7,2003
35,14,1,1,6,Anne Elise Thompson,3,2,0,3,120,0,1/31/2002,1,2002
46,14,1,1,8,Anne Elise Thompson,3,2,0,3,108,0,1/29/2002,1,2002
28,14,1,0,0,Anne Elise Thompson,5,1,0,3,12,0,10/11/2001,10,2001
45,14,3,0,0,Anne Elise Thompson,3,3,0,3,108,0,10/10/2001,10,2001
33,14,1,,,Anne Elise Thompson,3,1,0,3,0,36,7/30/2002,7,2002
31,14,1,1,9,Anne Elise Thompson,3,2,0,3,80,0,2/11/2002,2,2002
33,14,1,1,9,Anne Elise Thompson,3,2,0,3,120,0,6/10/2003,6,2003
26,14,3,1,7,Anne Elise Thompson,1,3,0,3,70,0,10/1/2001,10,2001
21,14,1,0,0,Anne Elise Thompson,3,2,1,3,37,0,11/13/2001,11,2001
40,14,1,1,3,Anne Elise Thompson,3,2,0,3,33,0,5/23/2002,5,2002
38,14,1,0,0,Anne Elise Thompson,3,1,0,3,0,36,10/9/2001,10,2001
32,14,3,1,0,Anne Elise Thompson,3,3,0,3,135,0,10/25/2001,10,2001
38,14,1,0,0,Anne Elise Thompson,1,1,0,3,97,0,3/25/2002,3,2002
39,14,3,0,0,Anne Elise Thompson,6,6,0,3,18,0,6/24/2002,6,2002
21,14,1,0,0,Anne Elise Thompson,5,1,0,3,70,0,2/15/2002,2,2002
33,14,3,1,0,Anne Elise Thompson,1,3,0,3,48,0,10/18/2002,10,2002
29,14,2,1,1,Anne Elise Thompson,5,1,0,3,10,0,2/11/2002,2,2002
35,14,2,1,0,Anne Elise Thompson,6,2,1,3,24,0,12/16/2002,12,2002
63,14,1,0,0,Anne Elise Thompson,6,1,0,3,13,0,4/3/2002,4,2002
44,14,1,1,1,Anne Elise Thompson,6,1,0,3,18,0,4/16/2002,4,2002
32,14,1,1,10,Anne Elise Thompson,3,2,0,3,33,0,4/16/2003,4,2003
52,14,1,1,8,Anne Elise Thompson,1,1,0,3,85,0,4/2/2003,4,2003
61,14,1,1,1,Anne Elise Thompson,6,6,0,3,0,0,5/29/2002,5,2002
28,14,1,1,5,Anne Elise Thompson,3,1,0,3,0,24,10/23/2002,10,2002
42,14,1,1,0,Anne Elise Thompson,6,1,1,3,18,0,7/17/2003,7,2003
37,14,1,1,13,Anne Elise Thompson,1,3,0,3,160,0,2/19/2003,2,2003
27,14,2,1,0,Anne Elise Thompson,5,3,0,3,0,48,1/30/2003,1,2003
27,14,1,1,17,Anne Elise Thompson,1,2,0,3,41,0,9/12/2002,9,2002
36,14,2,0,0,Anne Elise Thompson,3,3,0,3,0,48,1/15/2003,1,2003
28,14,2,1,0,Anne Elise Thompson,6,1,0,3,0,24,,5,2005
27,14,2,0,0,Anne Elise Thompson,6,1,1,3,0,24,1/27/2003,1,2003
27,14,2,0,0,Anne Elise Thompson,6,1,1,3,0,36,12/26/2002,12,2002
21,14,2,0,0,Anne Elise Thompson,5,6,0,3,0,24,6/3/2003,6,2003
48,14,1,0,0,Anne Elise Thompson,6,1,0,3,0,36,,10,2007
77,14,1,0,0,Anne Elise Thompson,6,1,0,3,0,24,9/25/2003,9,2003
54,14,2,0,0,Anne Elise Thompson,6,1,0,3,0,60,6/18/2003,6,2003
44,14,1,0,0,Anne Elise Thompson,3,3,0,3,18,0,4/14/2003,4,2003
19,14,1,0,0,Anne Elise Thompson,3,2,0,3,0,36,10/15/2002,10,2002
