AGE,CIRCDIST,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
28,10,1,0,0,Allen G. Schwartz,5,1,0,1,46,0,11/5/2001,11,2001
28,10,3,1,4,Allen G. Schwartz,1,3,0,1,46,0,4/10/2002,4,2002
28,10,1,1,1,Allen G. Schwartz,1,3,0,1,120,0,9/27/2002,9,2002
49,10,1,0,0,Allen G. Schwartz,6,3,0,1,87,0,9/17/2002,9,2002
43,10,3,1,1,Allen G. Schwartz,3,3,0,1,72,0,8/19/2003,8,2003
22,10,2,1,4,Allen G. Schwartz,5,2,0,1,24,0,11/8/2001,11,2001
32,10,3,1,3,Allen G. Schwartz,3,3,0,1,46,0,10/2/2001,10,2001
42,10,3,1,2,Allen G. Schwartz,1,3,0,1,57,0,5/13/2002,5,2002
34,10,3,1,15,Allen G. Schwartz,3,3,0,1,77,0,10/15/2002,10,2002
31,10,1,0,0,Allen G. Schwartz,3,2,0,1,0,36,1/31/2002,1,2002
24,10,1,1,1,Allen G. Schwartz,3,2,0,1,63,0,10/30/2001,10,2001
36,10,1,1,3,Allen G. Schwartz,5,2,0,1,18,0,10/9/2001,10,2001
35,10,1,0,0,Allen G. Schwartz,5,2,0,1,0,36,11/14/2002,11,2002
35,10,1,1,3,Allen G. Schwartz,3,2,0,1,120,0,7/8/2002,7,2002
36,10,3,1,0,Allen G. Schwartz,3,3,0,1,120,0,7/24/2002,7,2002
29,10,3,1,13,Allen G. Schwartz,1,3,0,1,84,0,7/23/2002,7,2002
25,10,1,1,2,Allen G. Schwartz,5,2,1,1,0,36,7/23/2002,7,2002
61,10,3,1,14,Allen G. Schwartz,1,2,0,1,84,0,11/1/2002,11,2002
23,10,1,1,4,Allen G. Schwartz,1,2,0,1,21,0,11/4/2002,11,2002
72,10,1,1,3,Allen G. Schwartz,1,2,0,1,0,60,10/31/2002,10,2002
23,10,1,0,0,Allen G. Schwartz,1,6,0,1,24,0,1/27/2003,1,2003
21,10,2,0,0,Allen G. Schwartz,3,6,0,1,0,0,1/29/2003,1,2003
21,10,1,1,0,Allen G. Schwartz,5,6,0,1,12,0,2/19/2003,2,2003
27,10,3,1,2,Allen G. Schwartz,1,6,0,1,15,0,3/18/2003,3,2003
39,10,2,0,0,Allen G. Schwartz,1,6,0,1,33,0,2/18/2003,2,2003
45,10,1,0,0,Allen G. Schwartz,1,1,0,1,0,12,10/4/2002,10,2002
33,10,2,0,0,Allen G. Schwartz,5,3,0,1,5,0,10/31/2002,10,2002
43,10,1,1,8,Allen G. Schwartz,1,2,1,1,0,24,7/16/2003,7,2003
21,10,1,0,0,Allen G. Schwartz,3,1,0,1,5,0,12/16/2002,12,2002
28,10,1,1,3,Allen G. Schwartz,3,2,0,1,33,0,8/28/2003,8,2003
32,10,1,0,0,Allen G. Schwartz,6,3,1,1,0,12,2/3/2003,2,2003
38,10,3,0,0,Allen G. Schwartz,6,3,0,1,37,0,9/18/2003,9,2003
23,10,1,1,6,Allen G. Schwartz,1,2,0,1,21,0,9/17/2003,9,2003
27,10,3,1,3,Allen G. Schwartz,1,2,0,1,27,0,9/8/2003,9,2003
37,10,1,1,13,Allen G. Schwartz,5,1,0,1,60,0,12/12/2001,12,2001
39,10,1,0,0,Allen G. Schwartz,6,1,0,1,63,0,12/12/2001,12,2001
43,10,3,1,2,Allen G. Schwartz,6,6,0,1,0,36,3/11/2002,3,2002
41,10,3,0,0,Allen G. Schwartz,1,3,0,7,4,0,7/26/2002,7,2002
19,10,1,1,0,Allen G. Schwartz,1,2,0,7,6,0,6/28/2002,6,2002
31,10,3,0,0,Allen G. Schwartz,5,1,0,7,3,0,5/20/2002,5,2002
46,10,1,0,0,Allen G. Schwartz,5,1,0,7,18,0,9/25/2002,9,2002
21,10,1,1,3,Allen G. Schwartz,1,2,1,7,0,36,9/20/2002,9,2002
24,10,1,0,0,Allen G. Schwartz,5,3,0,7,0,24,11/15/2002,11,2002
27,10,1,1,1,Alison J. Nathan,3,3,0,1,0,0,,3,2013
47,10,1,1,0,Alison J. Nathan,3,1,1,1,0,0,,3,2015
67,10,1,0,0,Alison J. Nathan,3,1,0,1,0,0,,4,2016
31,10,3,1,1,Alison J. Nathan,1,3,0,1,6,0,,6,2012
59,10,1,0,0,Alison J. Nathan,1,1,0,1,0,24,,1,2013
44,10,3,0,0,Alison J. Nathan,6,1,0,1,0,0,,6,2014
47,10,2,0,0,Alison J. Nathan,1,3,0,1,37,0,,11,2012
22,10,1,1,10,Alison J. Nathan,3,2,0,1,60,0,,11,2012
21,10,1,1,1,Alison J. Nathan,1,3,0,1,24,0,,7,2014
39,10,1,0,0,Alison J. Nathan,6,6,0,1,0,12,,5,2013
44,10,1,1,23,Alison J. Nathan,3,3,0,1,12,0,,2,2013
40,10,3,1,3,Alison J. Nathan,1,3,0,1,0,0,,4,2013
39,10,3,1,2,Alison J. Nathan,1,3,0,1,87,0,,3,2013
33,10,5,1,0,Alison J. Nathan,6,6,0,1,480,0,,5,2016
37,10,3,0,0,Alison J. Nathan,1,1,1,1,15,0,,4,2013
21,10,3,0,0,Alison J. Nathan,1,1,0,1,17,0,,4,2013
72,10,1,0,0,Alison J. Nathan,6,1,1,1,8,0,,1,2013
29,10,3,0,,Alison J. Nathan,1,3,0,1,96,0,,7,2013
