AGE,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
31,1,1,10,John J. McConnell Jr.,1,1,0,1,0,0,,9,2011
28,1,0,0,John J. McConnell Jr.,5,1,0,1,97,0,,3,2011
38,3,1,0,John J. McConnell Jr.,1,3,0,1,181,0,,12,2011
24,1,1,14,John J. McConnell Jr.,1,2,0,1,63,0,,6,2011
40,1,1,1,John J. McConnell Jr.,3,3,0,1,60,0,,5,2011
41,3,0,0,John J. McConnell Jr.,3,3,0,1,60,0,,4,2012
31,1,1,12,John J. McConnell Jr.,3,2,0,1,180,0,,4,2012
43,1,1,0,John J. McConnell Jr.,3,1,0,1,60,0,,1,2011
34,1,1,6,John J. McConnell Jr.,1,2,0,1,46,0,,8,2011
35,1,1,17,John J. McConnell Jr.,3,3,0,1,30,0,,8,2011
37,1,1,16,John J. McConnell Jr.,6,1,0,1,151,0,,9,2011
46,1,1,0,John J. McConnell Jr.,5,1,0,1,108,0,,7,2011
33,1,1,9,John J. McConnell Jr.,3,1,0,1,188,0,,4,2011
27,1,1,11,John J. McConnell Jr.,3,3,0,1,120,0,,1,2011
20,1,1,10,John J. McConnell Jr.,3,2,0,1,46,0,,3,2011
37,1,1,10,John J. McConnell Jr.,3,2,0,1,96,0,,3,2011
60,1,1,1,John J. McConnell Jr.,5,1,0,1,0,60,,9,2011
51,1,1,1,John J. McConnell Jr.,1,1,0,1,0,0,,9,2011
51,1,1,15,John J. McConnell Jr.,3,2,1,1,84,0,,6,2011
37,1,1,14,John J. McConnell Jr.,1,1,0,1,84,0,,9,2011
36,1,1,0,John J. McConnell Jr.,3,1,0,1,0,0,,3,2012
40,3,1,4,John J. McConnell Jr.,1,3,0,1,0,0,,9,2011
25,1,1,4,John J. McConnell Jr.,1,2,0,1,46,0,,2,2012
30,1,1,27,John J. McConnell Jr.,3,1,0,1,37,0,,9,2011
63,1,1,0,John J. McConnell Jr.,5,6,1,1,12,0,,10,2013
32,1,1,0,John J. McConnell Jr.,3,6,0,1,0,60,,12,2011
60,1,0,0,John J. McConnell Jr.,6,6,0,1,36,0,,12,2013
26,1,1,18,John J. McConnell Jr.,1,3,0,1,77,0,,1,2012
31,3,1,0,John J. McConnell Jr.,1,3,0,1,0,60,,6,2011
48,3,1,1,John J. McConnell Jr.,1,3,0,1,30,0,,4,2012
37,1,1,28,John J. McConnell Jr.,3,1,0,1,151,0,,8,2012
49,1,1,1,John J. McConnell Jr.,3,2,1,1,0,36,,9,2011
33,1,1,6,John J. McConnell Jr.,3,6,0,1,84,0,,1,2013
52,1,0,0,John J. McConnell Jr.,3,3,0,1,12,0,,3,2012
42,1,0,0,John J. McConnell Jr.,5,3,0,1,12,0,,3,2012
38,1,1,10,John J. McConnell Jr.,5,2,0,1,41,0,,5,2012
35,3,1,1,John J. McConnell Jr.,5,2,0,1,41,0,,9,2011
18,2,1,4,John J. McConnell Jr.,1,2,0,1,6,0,,1,2012
59,1,0,0,John J. McConnell Jr.,6,1,0,1,36,0,,12,2013
